date,maxTemp,minTemp,pressure,humidity,visibility,dewPoint,cloudCover,windSpeed,windBearing,icon
2018-03-25 09:21:43.364410,92.32,78.83,1009.88,0.75,2.75,76.21,0.41,2.22,267,fog
2018-03-24 09:21:43.364410,91.69,79.19,1009.61,0.73,3.04,75.17,0.46,1.97,290,partly-cloudy-day
2018-03-23 09:21:43.364410,90.51,77.92,1009.46,0.75,2.73,74.75,0.62,2.52,297,fog
2018-03-22 09:21:43.364410,91.43,77.01,1010.22,0.77,2.42,75.13,0.56,2.51,296,fog
2018-03-21 09:21:43.364410,91.43,78.13,1010.26,0.75,2.55,75.8,0.34,3.42,263,fog
2018-03-20 09:21:43.364410,92.31,78.82,1010.31,0.75,2.51,75.1,0.39,1.89,258,fog
2018-03-19 09:21:43.364410,92.31,77.01,1010.35,0.77,2.54,74.68,0.55,1.81,265,fog
2018-03-18 09:21:43.364410,93.19,75.2,1010.39,0.77,2.65,73.54,0.62,1.17,171,partly-cloudy-day
2018-03-17 09:21:43.364410,94.11,77.66,1010.43,0.72,3.19,74.25,0.49,1.18,256,partly-cloudy-day
2018-03-16 09:21:43.364410,90.01,78.83,1009.81,0.78,3.01,75.1,0.51,2.0,232,partly-cloudy-day
2018-03-15 09:21:43.364410,91.15,77.52,1009.96,0.75,2.93,73.83,0.61,1.21,150,fog
2018-03-14 09:21:43.364410,96.3,77.73,1010.25,0.72,2.35,73.79,0.73,1.7,161,fog
2018-03-13 09:21:43.364410,98.75,79.11,1010.3,0.71,2.62,73.88,0.72,0.78,101,partly-cloudy-day
2018-03-12 09:21:43.364410,95.02,80.95,1010.64,0.67,2.42,71.5,0.46,1.5,231,fog
2018-03-11 09:21:43.364410,93.23,75.2,1010.68,0.68,2.39,70.86,0.35,1.58,200,fog
2018-03-10 09:21:43.364410,95.02,73.4,1010.64,0.69,2.58,71.95,0.34,1.23,318,fog
2018-03-09 09:21:43.364410,93.15,75.2,1010.09,0.72,2.49,74.76,0.34,1.01,317,fog
2018-03-08 09:21:43.364410,95.02,79.23,1010.69,0.66,2.52,71.35,0.4,1.94,194,fog
2018-03-07 09:21:43.364410,91.57,76.11,1010.29,0.69,2.51,72.88,0.31,0.87,269,fog
2018-03-06 09:21:43.364410,93.16,78.93,1010.59,0.69,2.51,72.35,0.33,0.96,253,fog
2018-03-05 09:21:43.364410,92.31,78.07,1010.3,0.7,2.6,72.64,0.29,2.36,277,fog
2018-03-04 09:21:43.364410,92.31,76.11,1010.63,0.72,2.68,73.41,0.33,2.36,256,fog
2018-03-03 09:21:43.364410,92.31,75.2,1010.97,0.72,2.72,73.11,0.34,2.8,255,partly-cloudy-day
2018-03-02 09:21:43.364410,93.19,77.01,1011.01,0.71,2.7,73.3,0.36,1.83,234,fog
2018-03-01 09:21:43.364410,94.11,77.01,1010.79,0.69,2.74,71.2,0.47,1.92,288,fog
2018-02-28 09:21:43.364410,94.11,76.11,1010.76,0.68,2.67,72.39,0.38,2.86,240,fog
2018-02-27 09:21:43.364410,96.85,77.01,1011.11,0.68,2.8,71.59,0.43,1.86,194,fog
2018-02-26 09:21:43.364410,95.02,75.2,1011.14,0.67,2.93,70.52,0.32,2.23,242,partly-cloudy-night
2018-02-25 09:21:43.364410,95.02,74.3,1011.17,0.66,2.64,70.17,0.33,2.33,232,fog
2018-02-24 09:21:43.364410,93.23,74.3,1011.2,0.7,2.72,71.13,0.37,0.99,160,partly-cloudy-day
2018-02-23 09:21:43.364410,91.43,75.2,1011.23,0.68,2.51,70.23,0.36,1.81,207,fog
2018-02-22 09:21:43.364410,91.41,75.96,1011.26,0.68,2.47,70.37,0.33,1.99,217,fog
2018-02-21 09:21:43.364410,92.31,76.11,1011.72,0.71,2.76,70.86,0.35,2.58,201,fog
2018-02-20 09:21:43.364410,93.19,74.3,1011.31,0.66,2.59,68.81,0.3,1.48,206,fog
2018-02-19 09:21:43.364410,93.23,73.42,1011.33,0.67,2.58,69.58,0.31,1.59,218,fog
2018-02-18 09:21:43.364410,90.53,75.2,1011.36,0.71,2.73,72.02,0.33,2.05,214,fog
2018-02-17 09:21:43.364410,92.31,76.35,1011.38,0.69,2.73,70.58,0.36,1.34,207,fog
2018-02-16 09:21:43.364410,93.26,74.3,1011.4,0.67,2.76,70.01,0.31,2.01,226,fog
2018-02-15 09:21:43.364410,92.31,74.3,1011.43,0.66,2.47,68.9,0.27,1.56,216,fog
2018-02-14 09:21:43.364410,92.31,73.4,1011.45,0.7,2.41,71.01,0.39,0.89,163,fog
2018-02-13 09:21:43.364410,92.31,75.2,1011.47,0.72,2.42,72.96,0.29,2.01,268,fog
2018-02-12 09:21:43.364410,90.53,77.01,1011.49,0.74,2.56,73.51,0.45,1.72,208,fog
2018-02-11 09:21:43.364410,91.43,77.05,1011.5,0.74,2.54,73.78,0.35,2.07,213,fog
2018-02-10 09:21:43.364410,94.11,76.11,1011.52,0.74,2.6,72.36,0.35,1.53,223,fog
2018-02-09 09:21:43.364410,90.53,73.4,1011.54,0.79,2.52,73.12,0.5,1.08,227,fog
2018-02-08 09:21:43.364410,90.53,75.2,1011.55,0.75,2.51,72.33,0.58,1.36,202,fog
2018-02-07 09:21:43.364410,90.53,75.17,1011.56,0.69,2.51,71.39,0.6,3.01,280,fog
2018-02-06 09:21:43.364410,93.23,76.98,1011.58,0.68,2.53,70.1,0.43,2.19,229,fog
2018-02-05 09:21:43.364410,92.31,74.11,1011.55,0.66,2.59,67.66,0.32,1.95,233,fog
2018-02-04 09:21:43.364410,91.41,72.51,1011.6,0.64,2.92,65.48,0.32,1.18,228,partly-cloudy-day
2018-02-03 09:21:43.364410,91.41,68.92,1011.61,0.63,2.63,63.92,0.31,1.28,131,partly-cloudy-day
2018-02-02 09:21:43.364410,90.53,68.92,1011.49,0.63,2.47,66.11,0.31,2.03,202,fog
2018-02-01 09:21:43.364410,90.48,72.45,1011.53,0.62,2.56,65.91,0.28,1.05,219,fog
2018-01-31 09:21:43.364410,93.19,72.84,1011.61,0.66,2.57,67.99,0.32,0.83,317,fog
2018-01-30 09:21:43.364410,89.62,70.72,1011.64,0.7,2.49,69.49,0.3,2.35,295,fog
2018-01-29 09:21:43.364410,89.63,71.63,1011.64,0.73,2.24,70.86,0.36,1.48,250,fog
2018-01-28 09:21:43.364410,86.01,73.4,1011.36,0.77,2.2,72.35,0.45,1.97,219,fog
2018-01-27 09:21:43.364410,91.44,76.18,1011.65,0.71,2.42,70.44,0.31,1.12,176,fog
2018-01-26 09:21:43.364410,89.62,75.2,1011.66,0.72,2.44,70.03,0.32,1.51,201,fog
2018-01-25 09:21:43.364410,90.53,71.63,1011.66,0.71,2.59,70.1,0.26,3.07,276,partly-cloudy-day
2018-01-24 09:21:43.364410,88.99,74.26,1011.36,0.72,2.58,70.81,0.34,3.87,271,fog
2018-01-23 09:21:43.364410,87.86,74.3,1011.89,0.7,2.13,70.13,0.27,2.09,238,fog
2018-01-22 09:21:43.364410,88.73,75.31,1011.49,0.73,2.55,69.93,0.27,1.13,235,fog
2018-01-21 09:21:43.364410,88.44,71.63,1011.48,0.7,2.63,68.34,0.26,1.86,259,fog
2018-01-20 09:21:43.364410,88.71,71.63,1011.8,0.67,2.51,67.08,0.23,0.55,244,partly-cloudy-day
2018-01-19 09:21:43.364410,91.43,72.15,1011.69,0.63,2.71,65.56,0.27,2.29,70,partly-cloudy-day
2018-01-18 09:21:43.364410,90.53,71.63,1011.68,0.7,2.5,69.56,0.37,0.8,211,partly-cloudy-day
2018-01-17 09:21:43.364410,88.77,72.51,1011.65,0.75,2.37,71.93,0.38,1.19,224,partly-cloudy-day
2018-01-16 09:21:43.364410,89.62,73.4,1011.57,0.7,2.52,69.25,0.33,1.09,242,fog
2018-01-15 09:21:43.364410,91.43,72.57,1011.63,0.62,2.82,65.29,0.3,1.16,172,partly-cloudy-day
2018-01-14 09:21:43.364410,92.31,68.92,1011.62,0.6,2.84,65.26,0.34,0.75,86,partly-cloudy-day
2018-01-13 09:21:43.364410,92.31,71.63,1011.61,0.69,2.41,70.87,0.46,0.51,147,fog
2018-01-12 09:21:43.364410,91.43,75.2,1011.6,0.68,2.47,70.9,0.39,1.5,256,fog
2018-01-11 09:21:43.364410,91.43,75.2,1011.65,0.68,2.93,70.26,0.39,0.1,218,partly-cloudy-night
2018-01-10 09:21:43.364410,90.9,74.3,1011.58,0.68,2.77,70.01,0.3,1.99,64,partly-cloudy-day
2018-01-09 09:21:43.364410,88.85,75.62,1011.74,0.67,2.5,67.16,0.27,0.52,227,fog
2018-01-08 09:21:43.364410,88.73,68.92,1011.57,0.68,2.44,67.81,0.28,0.23,157,fog
2018-01-07 09:21:43.364410,88.25,71.63,1011.55,0.69,2.27,68.67,0.36,1.55,268,fog
2018-01-06 09:21:43.364410,89.54,72.51,1011.49,0.71,2.34,68.86,0.31,0.37,234,fog
2018-01-05 09:21:43.364410,88.73,71.63,1011.52,0.72,2.68,70.08,0.33,1.06,237,fog
2018-01-04 09:21:43.364410,89.18,73.4,1011.52,0.72,2.59,70.23,0.23,1.5,264,fog
2018-01-03 09:21:43.364410,89.62,72.51,1011.49,0.74,2.56,70.93,0.32,3.92,262,wind
2018-01-02 09:21:43.364410,89.62,72.51,1011.48,0.7,2.62,69.18,0.31,2.81,253,fog
2018-01-01 09:21:43.364410,89.62,71.63,1011.46,0.71,2.48,69.18,0.34,2.41,269,fog
2017-12-31 09:21:43.364410,88.73,71.63,1011.49,0.67,2.66,67.58,0.34,0.34,77,fog
2017-12-30 09:21:43.364410,90.53,71.63,1011.43,0.66,2.79,66.1,0.31,1.75,247,partly-cloudy-night
2017-12-29 09:21:43.364410,90.53,68.92,1011.45,0.66,2.82,65.1,0.37,1.75,59,partly-cloudy-day
2017-12-28 09:21:43.364410,89.26,68.02,1011.4,0.65,2.56,66.64,0.3,3.39,66,fog
2017-12-27 09:21:43.364410,91.97,70.72,1011.38,0.66,2.76,68.48,0.27,1.5,61,partly-cloudy-night
2017-12-26 09:21:43.364410,90.53,72.51,1011.44,0.69,2.62,70.44,0.31,1.12,235,partly-cloudy-night
2017-12-25 09:21:43.364410,90.53,73.42,1011.36,0.66,2.74,68.23,0.3,1.77,274,partly-cloudy-night
2017-12-24 09:21:43.364410,92.7,71.63,1011.32,0.68,2.8,68.74,0.33,1.41,76,fog
2017-12-23 09:21:43.364410,91.43,73.4,1011.3,0.66,3.19,68.07,0.35,0.18,55,partly-cloudy-day
2017-12-22 09:21:43.364410,90.61,72.51,1011.97,0.65,3.04,69.42,0.41,0.9,81,partly-cloudy-day
2017-12-21 09:21:43.364410,90.74,75.89,1012.02,0.66,2.64,69.7,0.48,0.83,36,partly-cloudy-night
2017-12-20 09:21:43.364410,89.75,73.4,1012.32,0.68,2.48,70.46,0.65,0.77,111,fog
2017-12-19 09:21:43.364410,88.04,76.22,1011.7,0.67,2.93,66.74,0.46,0.42,243,fog
2017-12-18 09:21:43.364410,90.53,68.92,1011.2,0.65,3.11,67.74,0.37,0.42,22,partly-cloudy-night
2017-12-17 09:21:43.364410,91.31,71.61,1011.33,0.67,3.07,69.08,0.38,2.62,34,partly-cloudy-night
2017-12-16 09:21:43.364410,92.03,73.4,1011.16,0.69,2.56,71.64,0.42,2.1,38,fog
2017-12-15 09:21:43.364410,90.65,74.3,1011.28,0.7,2.38,71.61,0.45,0.73,49,fog
2017-12-14 09:21:43.364410,88.73,75.2,1011.12,0.8,1.91,74.19,0.59,1.22,224,fog
2017-12-13 09:21:43.364410,86.27,75.2,1011.1,0.83,1.95,74.35,0.73,1.36,217,fog
2017-12-12 09:21:43.364410,88.73,77.01,1011.08,0.78,2.1,73.87,0.6,1.43,233,fog
2017-12-11 09:21:43.364410,84.26,75.2,1011.06,0.82,1.97,74.67,0.83,0.55,326,fog
2017-12-10 09:21:43.364410,90.53,78.31,1011.04,0.74,2.45,73.44,0.54,1.38,200,fog
2017-12-09 09:21:43.364410,89.62,76.11,1011.02,0.73,2.93,72.83,0.5,1.68,245,fog
2017-12-08 09:21:43.364410,89.98,74.3,1011.0,0.74,2.34,73.5,0.47,2.66,272,fog
2017-12-07 09:21:43.364410,88.25,76.11,1011.11,0.75,2.45,73.02,0.44,2.81,284,fog
2017-12-06 09:21:43.364410,87.86,76.46,1011.07,0.75,2.82,72.21,0.41,2.47,255,fog
2017-12-05 09:21:43.364410,91.12,74.3,1011.01,0.74,2.67,72.5,0.44,1.31,201,fog
2017-12-04 09:21:43.364410,89.64,75.2,1011.01,0.74,2.66,72.88,0.39,1.72,188,partly-cloudy-day
2017-12-03 09:21:43.364410,90.45,75.6,1011.0,0.76,2.93,72.85,0.58,2.33,127,partly-cloudy-day
2017-12-02 09:21:43.364410,85.85,74.43,1010.56,0.78,2.65,72.14,0.78,3.17,116,partly-cloudy-day
2017-12-01 09:21:43.364410,83.44,75.49,1010.19,0.85,2.32,73.75,0.88,5.19,111,fog
2017-11-30 09:21:43.364410,84.23,75.1,1010.62,0.76,2.6,72.83,0.72,5.05,9,fog
2017-11-29 09:21:43.364410,89.71,78.76,1010.49,0.71,3.22,72.16,0.59,4.62,29,partly-cloudy-day
2017-11-28 09:21:43.364410,89.05,76.11,1010.71,0.74,2.36,73.11,0.74,1.32,67,fog
2017-11-27 09:21:43.364410,88.73,76.81,1010.77,0.77,2.54,74.03,0.78,0.55,96,fog
